ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
21292126,South Oak Cliff Tiny Guest House,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,68.0,59.0,False,32.6924,-96.86757,True,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Microwave', 'Long term stays allowed']",1.0,1.0
21292874,The Javier. All Welcome,,,,80.0,85.0,83.0,87.0,78.0,83.0,79.0,79.0,79.0,False,32.81225,-96.81408,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Hair dryer']",1.0,1.0
21292874,The Javier. All Welcome,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,86.0,93.0,128.0,False,32.81225,-96.81408,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Hair dryer']",1.0,1.0
21395886,Private Studio Quarters in Kessler Park.,,,72.0,71.0,73.0,69.0,70.0,78.0,76.0,79.0,79.0,79.0,False,32.76018,-96.84027,True,"['Wifi', 'Free driveway parking on premises – 2 spaces', 'Window AC unit', 'Shared patio or balcony', 'Backyard', 'Hair dryer', 'Fire pit', 'Microwave']",1.0,1.0
21395886,Private Studio Quarters in Kessler Park.,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,82.0,98.0,100.0,False,32.76018,-96.84027,True,"['Wifi', 'Free driveway parking on premises – 2 spaces', 'Window AC unit', 'Shared patio or balcony', 'Backyard', 'Hair dryer', 'Fire pit', 'Microwave']",1.0,1.0
21427426,Bungalow 5 Min. to Downtown/Blocks to Bishop Arts,,,,,,,,,,,,,False,,,,,4.0,2.0
21427426,Bungalow 5 Min. to Downtown/Blocks to Bishop Arts,,,,,,,184.0,184.0,184.0,193.0,188.0,184.0,False,,,,,4.0,2.0
21535807,Charming Studio Apartment,,58.0,51.0,50.0,65.0,65.0,56.0,57.0,56.0,56.0,56.0,56.0,False,32.64367,-96.94057,True,"['Wifi', 'Free parking on premises', 'TV with Roku', 'Central air conditioning', 'Backyard', 'Hair dryer', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
21535807,Charming Studio Apartment,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,60.0,66.0,66.0,False,32.64367,-96.94057,True,"['Wifi', 'Free parking on premises', 'TV with Roku', 'Central air conditioning', 'Backyard', 'Hair dryer', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
21636221,"Updated, clean, quiet, comfy bed, pool view, w/d",,65.0,65.0,69.0,66.0,68.0,69.0,69.0,69.0,69.0,69.0,60.0,False,32.88474,-96.77062,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
21636221,"Updated, clean, quiet, comfy bed, pool view, w/d",60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,68.0,68.0,294.0,False,32.88474,-96.77062,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
