ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1141328618634901425,Private Pool Oasis in Desired Biltmore/Arcadia,,,,0.0,135.0,135.0,135.0,139.0,195.0,145.0,197.0,191.0,False,33.49085,-112.00766,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Outdoor pool - available all year, open 24 hours, pool toys, saltwater', '60 inch HDTV with Netflix, standard cable, DVD player', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",2.0,1.5
1143285951330361563,Urban Escape w/ King bed & patio,,,,,,,,,,,,,False,33.5015,-112.0045,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1143285951330361563,Urban Escape w/ King bed & patio,,,0.0,94.0,94.0,94.0,94.0,94.0,94.0,86.0,179.0,163.0,False,33.5015,-112.0045,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1144211202188835417,Beautiful Phoenix Condo!,,,,,,,,,,,,,False,,,,,1.0,1.0
1144211202188835417,Beautiful Phoenix Condo!,,,,0.0,109.0,109.0,109.0,109.0,109.0,221.0,251.0,120.0,False,,,,,1.0,1.0
1144342504510401848,The Desert Oasis | Scottsdale | Heated Pool,,,,,,,,,,,,,False,33.63306,-111.97246,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1144342504510401848,The Desert Oasis | Scottsdale | Heated Pool,,,0.0,250.0,250.0,250.0,250.0,250.0,250.0,346.0,476.0,373.0,False,33.63306,-111.97246,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1144918051329930427,10% Weekly | Farmhouse Retreat,,,,,,,,,,,,,False,33.4697,-112.19708,True,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washing machine', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1144918051329930427,10% Weekly | Farmhouse Retreat,,,,0.0,80.0,80.0,80.0,80.0,80.0,101.0,292.0,158.0,False,33.4697,-112.19708,True,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washing machine', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1146297216553442835,Modern Phoenix Home w/ Pool - 13 Mi to Downtown!,,,,,,,,,,,,,False,33.60307,-112.10701,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1146297216553442835,Modern Phoenix Home w/ Pool - 13 Mi to Downtown!,,,,0.0,381.0,366.0,424.0,424.0,440.0,184.0,221.0,239.0,False,33.60307,-112.10701,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1150356263608000216,Trendy-Walk Everywhere! Balcony+Coronado_Pool,,,,,,,,,,,,,False,33.47135,-112.06795,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool - available seasonally', 'Pets allowed', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Exterior security cameras on property']",1.0,1.0
1150356263608000216,Trendy-Walk Everywhere! Balcony+Coronado_Pool,,,,0.0,120.0,120.0,120.0,120.0,120.0,94.0,95.0,112.0,False,33.47135,-112.06795,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool - available seasonally', 'Pets allowed', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Exterior security cameras on property']",1.0,1.0
1151784025813046360,"Peaceful, mid-century block home",,,,,,,,,,,,,False,33.4972,-112.0012,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Private patio or balcony', 'Refrigerator']",2.0,1.0
1151784025813046360,"Peaceful, mid-century block home",,,,0.0,109.0,109.0,119.0,119.0,139.0,144.0,214.0,164.0,False,33.4972,-112.0012,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Air conditioning', 'Private patio or balcony', 'Refrigerator']",2.0,1.0
1151796605330769984,"New Modern Apartment, vacation getaway / long stay",,,,,,,,,,,,,False,33.5122,-112.0133,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours', 'Shared hot tub - available all year, open specific hours', 'Sauna', 'Pets allowed', '65 inch HDTV']",2.0,2.0
1151796605330769984,"New Modern Apartment, vacation getaway / long stay",,,,0.0,200.0,200.0,200.0,200.0,200.0,220.0,222.0,239.0,False,33.5122,-112.0133,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours', 'Shared hot tub - available all year, open specific hours', 'Sauna', 'Pets allowed', '65 inch HDTV']",2.0,2.0
1153909527554952687,Cozy 4 BRs House  in Uptown Phoenix,,,,,,,,,,,,,False,33.5214,-112.104,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",4.0,2.0
1153909527554952687,Cozy 4 BRs House  in Uptown Phoenix,,,,,0.0,220.0,125.0,125.0,125.0,227.0,222.0,279.0,False,33.5214,-112.104,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",4.0,2.0
1155342026567607966,Modern Lux Retreat w/ Pool & Spa,,,,,,,,,,,,,False,33.48981,-111.99346,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,2.5
1155342026567607966,Modern Lux Retreat w/ Pool & Spa,,,,0.0,299.0,299.0,399.0,399.0,399.0,369.0,486.0,446.0,False,33.48981,-111.99346,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,2.5
1157159945131089449,Charming 4BR Oasis with Pool & Modern Comforts,,,,,,,,,,,,,False,,,,,,
1157159945131089449,Charming 4BR Oasis with Pool & Modern Comforts,,,,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,146.0,237.0,162.0,False,,,,,,
1158078036699024387,"3BR home with enclosed yard, putting green",,,,,,,,,,,,,False,,,,,3.0,2.0
1158078036699024387,"3BR home with enclosed yard, putting green",,,,0.0,212.0,218.0,225.0,225.0,225.0,1168.0,336.0,305.0,False,,,,,3.0,2.0
1159392106262291710,"Arcadia Paradise - Heated Pool, Hot Tub, Fire Pit",,,,,,,,,,,,,False,,,,,4.0,3.0
1159392106262291710,"Arcadia Paradise - Heated Pool, Hot Tub, Fire Pit",,,,0.0,599.0,599.0,599.0,599.0,599.0,599.0,1472.0,1472.0,False,,,,,4.0,3.0
1159593486997885733,[The Deuce] 2 Houses! - Central PHX Courtyard,,,,,,,,,,,,,False,33.49057,-112.06298,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1159593486997885733,[The Deuce] 2 Houses! - Central PHX Courtyard,,,,0.0,289.0,289.0,289.0,289.0,289.0,410.0,435.0,514.0,False,33.49057,-112.06298,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1161177415775433730,Brand New! Modern Backyard! Sleeps 7!,,,,,,,,,,,,,False,33.6763,-112.1052,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1161177415775433730,Brand New! Modern Backyard! Sleeps 7!,,,,0.0,140.0,140.0,140.0,140.0,140.0,216.0,168.0,203.0,False,33.6763,-112.1052,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1161197301683978566,Spacious 2BD DT|Balcony+Gym+W/D+Parking | Sleeps 8,,,,,,,,,,,,,False,33.4581,-112.0704,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",2.0,2.0
1161197301683978566,Spacious 2BD DT|Balcony+Gym+W/D+Parking | Sleeps 8,,,,,0.0,300.0,300.0,300.0,300.0,137.0,160.0,217.0,False,33.4581,-112.0704,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",2.0,2.0
1161219102180633932,Comfy 2BD DT |Gym+W/D+Parking | Sleeps 8,,,,,,,,,,,,,False,33.4581,-112.0704,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",2.0,2.0
1161219102180633932,Comfy 2BD DT |Gym+W/D+Parking | Sleeps 8,,,,,0.0,300.0,300.0,300.0,300.0,145.0,147.0,146.0,False,33.4581,-112.0704,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",2.0,2.0
