ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1003606782905082651,NEW & Spacious Uptown/Southend CLT Home!,0.0,30.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,0.0,0.0,30.0,89,False,35.20064,-80.89896,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Netflix, DVD player, Apple TV, Fire TV, Hulu, Amazon Prime Video, HBO Max, Disney+', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,,,,,,,,,,,,,67,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,7.0,4.0,3.0,22.0,29.0,31.0,30.0,25.0,31.0,30.0,0.0,19.0,54,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,0.0,2.0,,,,,,,,,,,92,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1004434640241073803,Fantastic Home * 6 Bedrooms * Awesome Location,,22.0,9.0,25.0,10.0,26.0,22.0,22.0,16.0,14.0,30.0,16.0,79,False,35.2042,-80.8444,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1004434640241073803,Fantastic Home * 6 Bedrooms * Awesome Location,19.0,17.0,,,,,,,,,,,72,False,35.2042,-80.8444,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1004435337097148365,{Retreat Treat} UNCC Hot Tub & Campfire-Sleeps 16!,,20.0,6.0,10.0,20.0,25.0,26.0,15.0,25.0,29.0,13.0,7.0,67,False,35.28106,-80.74266,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'TV', 'Washing machine', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.0
1004435337097148365,{Retreat Treat} UNCC Hot Tub & Campfire-Sleeps 16!,8.0,12.0,,,,,,,,,,,79,False,35.28106,-80.74266,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'TV', 'Washing machine', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.0
1004896650906664611,Terrific Charlotte town home,8.0,12.0,3.0,15.0,15.0,17.0,10.0,17.0,18.0,11.0,12.0,16.0,88,False,35.20562,-80.87093,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",2.0,3.0
1004896650906664611,Terrific Charlotte town home,9.0,6.0,3.0,0.0,,,,,,,,,61,False,35.20562,-80.87093,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",2.0,3.0
1004998945900309570,{The Escape} Amazing Pool and Billiards,,,,22.0,15.0,20.0,17.0,28.0,29.0,22.0,24.0,23.0,83,False,35.09172,-80.81419,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available seasonally, open 24 hours, heated, pool cover', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,3.5
1004998945900309570,{The Escape} Amazing Pool and Billiards,22.0,15.0,11.0,8.0,,,17.0,21.0,27.0,24.0,22.0,24.0,80,False,35.09172,-80.81419,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available seasonally, open 24 hours, heated, pool cover', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,3.5
1005246309123033881,{The Luxe} Heated Pool | Elegant Uptown,0.0,0.0,0.0,0.0,,4.0,9.0,18.0,14.0,22.0,25.0,18.0,75,False,35.2264,-80.81816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool - available all year', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Exterior security cameras on property']",3.0,2.5
1005261131730210520,{Sport Villa} Uptown Near Stadium & Ballpark,11.0,15.0,10.0,14.0,,,,,,,,,77,False,35.23368,-80.85426,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,2.0
1005664717717024113,Perfect Getaway Prime Location w/Game Room & HoTub,,,,9.0,14.0,13.0,19.0,21.0,23.0,26.0,24.0,22.0,92,False,35.2058,-80.901,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",5.0,2.5
1005664717717024113,Perfect Getaway Prime Location w/Game Room & HoTub,29.0,20.0,10.0,15.0,24.0,11.0,,0.0,0.0,0.0,29.0,0.0,71,False,35.2058,-80.901,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",5.0,2.5
1005749145256960166,Cozy Studio in Charlotte/Pineville!,24.0,0.0,0.0,0.0,0.0,0.0,,31.0,26.0,0.0,0.0,0.0,79,False,35.08616,-80.8637,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
1005870163898429941,Spacious 1br in Charlotte/Pineville!,0.0,30.0,0.0,15.0,11.0,0.0,,,,,,,63,False,35.08653,-80.86498,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",1.0,1.0
1005948634809001914,Eclectic Retreat,,,,,,10.0,14.0,12.0,10.0,30.0,24.0,0.0,82,False,,,,,3.0,2.0
1005948634809001914,Eclectic Retreat,0.0,0.0,0.0,0.0,0.0,23.0,,,,,,,70,False,,,,,3.0,2.0
1006423430214763160,Orange Crush,,,,,,29.0,14.0,28.0,0.0,31.0,30.0,0.0,93,False,35.1902,-80.8813,False,"['Wifi', 'Free driveway parking on premises – 2 spaces', 'HDTV with Roku', 'AC - split type ductless system', 'Bathtub', 'Private patio or balcony', 'Hair dryer', 'Microwave', 'Long term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1006423430214763160,Orange Crush,0.0,29.0,0.0,13.0,0.0,0.0,8.0,2.0,11.0,24.0,0.0,0.0,88,False,35.1902,-80.8813,False,"['Wifi', 'Free driveway parking on premises – 2 spaces', 'HDTV with Roku', 'AC - split type ductless system', 'Bathtub', 'Private patio or balcony', 'Hair dryer', 'Microwave', 'Long term stays allowed', 'Exterior security cameras on property']",1.0,1.0
1007189025554621129,Extremely Private°Uptown FIVE min°Smart TV°2 Beds,15.0,0.0,0.0,17.0,20.0,0.0,,,,,,,73,False,,,,,2.0,1.0
1007244555493903945,Southend Cottage,,,,,,,,19.0,5.0,9.0,26.0,29.0,73,False,35.1947,-80.8631,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Bathtub', 'Private backyard', 'Indoor fireplace', 'Hair dryer']",2.0,1.0
1007244555493903945,Southend Cottage,24.0,29.0,31.0,30.0,22.0,18.0,28.0,19.0,,,,,83,False,35.1947,-80.8631,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Bathtub', 'Private backyard', 'Indoor fireplace', 'Hair dryer']",2.0,1.0
1008174951807043660,Cozy Loft • Near > Plaza+Uptown,,,,,,,,25.0,17.0,21.0,23.0,28.0,68,False,35.21013,-80.81491,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1008174951807043660,Cozy Loft • Near > Plaza+Uptown,29.0,31.0,25.0,19.0,21.0,21.0,23.0,14.0,,,,,60,False,35.21013,-80.81491,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
