ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
47926170,555.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,547.0,False,27.94723,-82.49067,true,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '32 inch TV with Roku', 'AC - split type ductless system', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
47927384,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,550.0,False,27.94013,-82.48849,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with Apple TV, Hulu, Amazon Prime Video, Netflix', 'EV charger', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",3.0,3.5
47936867,500.0,129.0,112.0,101.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,False,28.0258,-82.457,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony']",3.0,2.0
47938065,850.0,788.0,785.0,800.0,790.0,793.0,750.0,750.0,750.0,750.0,850.0,850.0,False,27.98752,-82.58188,True,"['Kitchen', 'Wifi', 'Free parking on premises – 6 spaces', 'Private pool', 'Private hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In building', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,3.5
47941264,160.0,130.0,142.0,131.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,False,27.98762,-82.48039,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'HDTV with Hulu', 'Washer', 'Dryer', 'Air conditioning', 'Shared patio or balcony', 'Crib', 'Exterior security cameras on property']",3.0,2.0
47950066,400.0,186.0,186.0,186.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,False,28.00902,-82.41901,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
47954275,95.0,121.0,362.0,407.0,406.0,406.0,95.0,95.0,95.0,95.0,95.0,95.0,False,27.9858,-82.4178,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '62 inch HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,2.0
47957263,255.0,115.0,115.0,144.5,135.0,130.0,130.5,130.5,255.0,255.0,255.0,255.0,False,,,,,2.0,2.0
47958254,252.0,400.0,400.0,400.0,400.0,258.0,264.0,217.0,189.0,252.0,252.0,252.0,False,27.95088,-82.50214,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', 'HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,1.5
47958256,900.0,252.0,252.0,252.0,252.0,403.0,370.0,393.0,900.0,900.0,900.0,900.0,False,28.08738,-82.43432,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool - available all year, open 24 hours', 'HDTV with standard cable, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,2.0
47977749,275.0,900.0,900.0,900.0,900.0,45.0,46.0,46.0,45.0,275.0,275.0,275.0,False,28.02188,-82.41153,False,"['River view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit']",5.0,3.5
47980119,169.0,275.0,275.0,275.0,275.0,169.0,151.0,128.0,129.0,169.0,169.0,169.0,False,28.01772,-82.48707,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42 inch HDTV', 'AC - split type ductless system', 'Private patio or balcony', 'Luggage dropoff allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
47980864,300.0,169.0,195.0,195.0,195.0,200.0,200.0,200.0,300.0,300.0,300.0,300.0,False,28.06663,-82.46724,True,"['Lake view', 'Kitchen', 'Fast wifi – 408 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with Amazon Prime Video, Disney+, HBO Max, Hulu, Netflix, Roku', 'Free washer – In building', 'Free dryer – In unit', 'Carbon monoxide alarm']",3.0,2.0
47989036,400.0,300.0,300.0,300.0,300.0,400.0,402.0,400.0,400.0,400.0,400.0,400.0,False,27.9029,-82.4932,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool', 'TV', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Pack ’n play/Travel crib']",1.0,1.0
47989886,50.0,400.0,400.0,400.0,400.0,400.0,400.0,50.0,51.0,47.0,50.0,50.0,False,27.95062,-82.49519,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, pool toys', 'Private hot tub', 'Pets allowed', '60 inch HDTV with Hulu, Amazon Prime Video, Netflix', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,2.0
47990485,60.0,50.0,50.0,50.0,50.0,50.0,50.0,122.0,93.0,82.0,79.0,60.0,False,28.02142,-82.49103,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Private patio or balcony', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
47998152,62.0,60.0,60.0,60.0,60.0,60.0,60.0,64.0,50.0,52.0,62.0,62.0,False,27.97528,-82.46393,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'AC - split type ductless system', 'Bathtub', 'Shared patio or balcony']",0.0,1.0
48017523,79.0,62.0,62.0,62.0,62.0,62.0,62.0,56.0,49.0,49.0,79.0,79.0,False,27.97115,-82.4429,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', '50 inch HDTV', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
48027543,300.0,79.0,79.0,79.0,79.0,79.0,79.0,119.0,105.0,100.0,300.0,300.0,False,27.97323,-82.48584,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV', 'Window AC unit', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",0.0,1.0
48041808,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,82.0,89.0,94.0,False,27.95046,-82.50116,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', 'HDTV', 'Central air conditioning', 'Private patio or balcony', 'Hair dryer', 'Refrigerator', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
48045203,185.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,197.0,192.0,189.0,False,,,,,1.0,1.0
48053996,140.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,148.0,137.0,132.0,False,27.97227,-82.46315,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '75 inch HDTV with HBO Max, Disney+, Amazon Prime Video, premium cable, Netflix, Apple TV, standard cable', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
