ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1168037368917627328,20.0,19.0,21.0,14.0,19.0,13.0,20.0,10.0,,,,,35.0,False,33.70824,-84.35687,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 3 spaces', '60 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix', 'Free washer – In unit', 'Dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,1.0
1168059582471969827,27.0,18.0,30.0,22.0,9.0,16.0,20.0,7.0,,,,,53.0,False,,,,,1.0,1.0
1168829456701587938,7.0,12.0,30.0,27.0,1.0,6.0,19.0,10.0,,,,,44.0,False,,,,,1.0,1.0
1169101088080699544,21.0,11.0,8.0,16.0,8.0,12.0,19.0,0.0,,,,,57.0,False,33.7026,-84.4512,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 3 spaces', 'TV', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard', 'Crib - always at the listing', 'Exterior security cameras on property']",3.0,2.0
1169192151541860357,14.0,9.0,23.0,21.0,23.0,25.0,26.0,11.0,,,,,72.5,False,33.70087994191904,-84.54722637278816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'HDTV with Amazon Prime Video, Netflix, Fire TV', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",1.0,1.0
1169412671771923844,,19.0,23.0,15.0,11.0,16.0,16.0,10.0,,,,,61.0,False,33.72401,-84.33644,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'HDTV with Netflix, Hulu, Amazon Prime Video', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",4.0,2.0
1169526176183848292,,,,0.0,12.0,12.0,10.0,19.0,21.0,,,,75.0,False,33.7521,-84.4338,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55-inch HDTV with Chromecast', 'Washing machine', 'Dryer', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",4.0,2.0
1169582515095874116,,0.0,13.0,14.0,24.0,31.0,0.0,0.0,0.0,,,,72.5,False,,,,,1.0,1.0
1170812565417344094,,13.0,27.0,24.0,20.0,13.0,17.0,25.0,14.0,,,,68.5,False,33.7408,-84.3861,True,"['City skyline view', 'Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Dryer', 'Exterior security cameras on property']",2.0,2.5
1171015322664514260,,7.0,11.0,7.0,19.0,27.0,14.0,28.0,0.0,,,,69.5,False,33.78366,-84.4141,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'EV charger', 'Washer', 'Exterior security cameras on property']",0.0,1.0
1171090269864243860,,29.0,12.0,23.0,3.0,0.0,0.0,2.0,0.0,,,,71.0,False,,,,,3.0,2.0
1171347907986239386,,17.0,21.0,25.0,18.0,19.0,14.0,11.0,0.0,,,,67.0,False,33.70632,-84.38273,True,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
1171561754798109419,,15.0,6.0,12.0,8.0,0.0,3.0,8.0,11.0,,,,58.0,False,33.735833013505044,-84.35648658672358,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Bathtub', 'Patio or balcony', 'Carbon monoxide alarm']",3.0,2.0
1171649215642024486,,,,14.0,7.0,9.0,9.0,9.0,0.0,,,,31.5,False,33.78056,-84.40955,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",2.0,2.0
1171655099519600695,,25.0,9.0,29.0,24.0,5.0,20.0,23.0,6.0,,,,72.0,False,33.78238,-84.39056,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Sauna', 'Pets allowed', 'TV', 'Elevator', 'EV charger', 'Washer']",1.0,1.0
1171659235330986642,,,9.0,5.0,5.0,3.0,0.0,3.0,14.0,0.0,,,55.0,False,33.76317,-84.43356,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
1171678212519637089,,,,8.0,3.0,5.0,3.0,0.0,15.0,15.0,0.0,,52.5,False,33.764668793432854,-84.43286571815686,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
