ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
36275474,3.0,29.0,30.0,30.0,31.0,30.0,31.0,31.0,0.0,0.0,26.0,12.0,85.0,False,26.15725,-80.12658,False,"['Waterfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",3.0,2.0
36416951,24.0,5.0,29.0,31.0,5.0,26.0,11.0,5.0,26.0,10.0,5.0,3.0,83.0,False,26.2224,-80.0907,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool', 'TV with standard cable', 'Elevator', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Hair dryer']",1.0,1.0
36446473,14.0,13.0,28.0,28.0,17.0,10.0,21.0,20.0,26.0,9.0,11.0,10.0,58.0,False,26.184,-80.1425,False,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Pets allowed', '55 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, premium cable, Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
36519395,16.0,31.0,29.0,31.0,23.0,15.0,17.0,26.0,11.0,12.0,10.0,19.0,90.0,False,26.1587,-80.1389,True,"['Kitchen', 'Fast wifi – 166 Mbps', 'Free parking on premises', 'Private outdoor pool - available all year, heated, lap pool, pool toys, saltwater', '58 inch HDTV with Roku, Amazon Prime Video, Netflix, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
36564309,24.0,19.0,23.0,0.0,30.0,25.0,11.0,27.0,14.0,17.0,25.0,30.0,89.0,False,26.22117,-80.09122,False,"['Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared pool - ', 'Shared hot tub', 'TV with standard cable', 'Elevator', 'Free washer – In building', 'Carbon monoxide alarm']",1.0,1.0
36568669,4.0,28.0,30.0,29.0,31.0,28.0,28.0,28.0,29.0,4.0,17.0,5.0,87.0,False,26.15803,-80.12135,True,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
36602370,22.0,1.0,20.0,17.0,25.0,28.0,21.0,6.0,3.0,17.0,15.0,31.0,65.0,False,26.16875,-80.13793,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated, saltwater', 'Shared sauna', 'HDTV with Amazon Prime Video, Netflix', 'Free washer – In building', 'Free dryer – In building', 'Exterior security cameras on property']",2.0,1.0
36643821,19.0,30.0,24.0,12.0,22.0,25.0,29.0,31.0,0.0,0.0,30.0,31.0,91.0,False,26.17087,-80.12249,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",4.0,3.0
36800525,22.0,27.0,23.0,25.0,20.0,24.0,26.0,29.0,30.0,25.0,25.0,24.0,83.0,False,26.23076,-80.10655,True,"['Shared beach access', 'Kitchen', 'Fast wifi – 377 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, pool toys', 'Pets allowed', '60 inch HDTV with standard cable, Netflix, Hulu', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,1.0
36802017,24.0,18.5,21.0,19.5,21.5,25.5,20.0,28.0,28.5,21.0,26.5,24.0,81.0,False,26.1426,-80.1255,True,"['Beach view', 'Kitchen', 'Fast wifi – 383 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours', '45 inch HDTV with Netflix, premium cable, Roku, standard cable', 'Paid washer – In building', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
36832456,30.0,20.0,23.0,0.0,0.0,0.0,30.0,0.0,,0.0,0.0,0.0,83.0,False,26.1613,-80.1523,True,"['Fast wifi – 91 Mbps', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV', 'AC - split type ductless system', 'Private patio or balcony', 'Luggage dropoff allowed', 'Hair dryer', 'Microwave']",1.0,1.0
36878955,30.0,0.0,0.0,24.0,25.0,9.0,16.0,8.0,0.0,27.0,24.0,30.0,51.0,False,26.12181,-80.10573,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Hot tub', 'Shared sauna', 'TV with standard cable', 'Elevator', 'EV charger - level 1']",1.0,1.0
36915321,30.0,18.0,0.0,0.0,29.0,23.0,31.0,30.0,31.0,31.0,29.0,31.0,80.0,False,26.19146,-80.14063,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed']",4.0,2.0
