HOUSE URL,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-384-Austin-TX-78758/80106505_zpid/,,CONDO,"$179,990",12166 Metric Blvd APT 384,Austin,TX,78758,2,2,1004,1568.16 sqft,
https://www.zillow.com/homedetails/4315-S-Congress-Ave-406-Austin-TX-78745/442202408_zpid/,,CONDO,"$150,000",4315 S Congress Ave #406,Austin,TX,78745,0,1,594,274.428 sqft,
https://www.zillow.com/homedetails/2600-Cockburn-Dr-Austin-TX-78745/29486077_zpid/,,SINGLE FAMILY,"$474,900",2600 Cockburn Dr,Austin,TX,78745,3,2,1265,6011.28 sqft,
https://www.zillow.com/homedetails/10607-Watchful-Fox-Dr-Austin-TX-78748/29513997_zpid/,,SINGLE FAMILY,"$455,000",10607 Watchful Fox Dr,Austin,TX,78748,4,3,1872,6229.08 sqft,
https://www.zillow.com/homedetails/5817-Loblolly-Ln-69-Austin-TX-78744/124720727_zpid/,,SINGLE FAMILY,"$340,000",5817 Loblolly Ln #69,Austin,TX,78744,4,3,1992,4930.992 sqft,2355
https://www.zillow.com/homedetails/7658-Marble-Ridge-Dr-Austin-TX-78747/60135543_zpid/,,SINGLE FAMILY,"$454,950",7658 Marble Ridge,Austin,TX,78747,4,3,2711,6403.32 sqft,2454
https://www.zillow.com/homedetails/8007-Bramble-Bush-Dr-Austin-TX-78747/29470035_zpid/,,SINGLE FAMILY,"$368,900",8007 Bramble Bush Dr,Austin,TX,78747,4,3,2761,5762.988 sqft,
https://www.zillow.com/homedetails/608-Silver-Wing-Dr-Austin-TX-78725/241937799_zpid/,,SINGLE FAMILY,"$285,000",608 Silver Wing Dr,Austin,TX,78725,3,2,1453,5749.92 sqft,
https://www.zillow.com/homedetails/5908-Lehman-Way-Austin-TX-78747/305434666_zpid/,,SINGLE FAMILY,"$485,000",5908 Lehman Way,Austin,TX,78747,4,3,2835,7148.196 sqft,
https://www.zillow.com/homedetails/1015-E-Yager-Ln-UNIT-187-Austin-TX-78753/29435506_zpid/,,CONDO,"$189,990",1015 E Yager Ln UNIT 187,Austin,TX,78753,2,2,891,4965.84 sqft,1551
https://www.zillow.com/homedetails/5605-China-Berry-Rd-Austin-TX-78744/29468270_zpid/,,SINGLE FAMILY,"$225,000",5605 China Berry Rd,Austin,TX,78744,3,2,1426,7078.5 sqft,2070
https://www.zillow.com/homedetails/15002-Wells-Port-Dr-Austin-TX-78728/29449776_zpid/,,SINGLE FAMILY,"$459,000",15002 Wells Port Dr,Austin,TX,78728,3,2,1834,8006.328 sqft,
https://www.zillow.com/homedetails/10825-Blacket-Dr-Austin-TX-78747/337146420_zpid/,,SINGLE FAMILY,"$379,000",10825 Blacket Dr,Austin,TX,78747,4,3,2080,7143.84 sqft,
https://www.zillow.com/homedetails/6828-Walkup-Ln-Austin-TX-78747/70342397_zpid/,,SINGLE FAMILY,"$319,500",6828 Walkup Ln,Austin,TX,78747,4,3,2068,4769.82 sqft,2288
https://www.zillow.com/homedetails/8321-Panadero-Dr-Austin-TX-78747/89551009_zpid/,,SINGLE FAMILY,"$349,900",8321 Panadero Dr,Austin,TX,78747,3,2,1652,6316.2 sqft,2036
https://www.zillow.com/homedetails/5708-Garden-Oaks-Dr-Austin-TX-78745/29489572_zpid/,,SINGLE FAMILY,"$274,900",5708 Garden Oaks Dr,Austin,TX,78745,2,1,864,6534 sqft,
https://www.zillow.com/homedetails/8416-Linda-Michelle-Ln-Austin-TX-78724/331623138_zpid/,,SINGLE FAMILY,"$479,900",8416 Linda Michelle Ln,Austin,TX,78724,4,3,2607,7008.804 sqft,2756
https://www.zillow.com/homedetails/7401-Montezuma-St-Austin-TX-78744/79977235_zpid/,,SINGLE FAMILY,"$387,000",7401 Montezuma St,Austin,TX,78744,4,2,1723,5201.064 sqft,2213
https://www.zillow.com/homedetails/10410-Margra-Ln-Austin-TX-78748/29512191_zpid/,,SINGLE FAMILY,"$299,900",10410 Margra Ln,Austin,TX,78748,4,2,1763,0.3721 acres,
https://www.zillow.com/homedetails/1416-Elm-Brook-Dr-Austin-TX-78758/29436547_zpid/,,SINGLE FAMILY,"$435,000",1416 Elm Brook Dr,Austin,TX,78758,3,2,1467,4900.5 sqft,
https://www.zillow.com/homedetails/4361-S-Congress-Ave-435-Austin-TX-78745/241938682_zpid/,,CONDO,"$300,000",4361 S Congress Ave #435,Austin,TX,78745,2,2,1081,688.248 sqft,
https://www.zillow.com/homedetails/507-Sabine-St-APT-1010-Austin-TX-78701/83125191_zpid/,,CONDO,"$299,000",507 Sabine St APT 1010,Austin,TX,78701,1,1,745,117.612 sqft,
