ID,Year_Index,Avg. Occupany %,Month,Bookings,Avg_Price,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms,lower_margin,upper_margin,Electronics,Amenities for Children,Garden/Backyard- Private,Garden/Backyard- Shared,Toilet,View,Beach/Lake Access,Furniture,Food,Workspace,Washer/Dryer- Free,Washer/Dryer- Paid,EV Charger,Elevator,Security Camera,Fireplace,Parking- Free on-site,Parking- Shared/Paid,Gym- Shared,Hot Tub/Pool- Private,Cooking Amenity,Others,Theater,Pets,Gym- Private,Hot Tub/Pool- Shared,Ski,city_center_lat,city_center_lon,distance_from_city_center
1072530949520224664,1,72,June,21.0,296.0,False,32.76968054363587,-96.789139902408,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,3.5,95.0,500.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,32.7758406,-96.80908977,1987.0144045979584
1072726649059532280,1,53,June,21.0,95.0,False,32.79948,-96.78132,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Refrigerator', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0,60.0,286.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,32.7758406,-96.80908977,3694.3455402138684
1072850236196216390,1,66,June,30.0,150.0,False,32.77568,-96.79431,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared pool', 'Pets allowed', 'TV', 'Elevator', 'Exterior security cameras on property']",1.0,1.0,60.0,286.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,32.7758406,-96.80908977,1381.908849080813
1073613141350179081,1,82,June,0.0,1000.0,False,32.78246,-96.85219,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",7.0,4.0,102.0,2362.4000000000005,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,32.7758406,-96.80908977,4096.0570852989
1073854814608360233,1,64,June,30.0,70.0,False,32.90043362286579,-96.75758560229514,True,"['Wifi', 'Dedicated workspace', 'Free street parking', '50 inch HDTV with Roku', 'Air conditioning', 'Private patio or balcony', 'Shared backyard – Fully fenced', 'Hair dryer', 'Microwave']",1.0,1.0,60.0,286.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,32.7758406,-96.80908977,14665.960680056345
1073995782918308090,1,88,June,0.0,200.0,False,32.8045,-96.8122,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', 'Pets allowed', '55 inch HDTV with Amazon Prime Video, Chromecast, Disney+, HBO Max, Netflix', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0,78.0,399.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,32.7758406,-96.80908977,3200.0145251449644
1075462726821788151,1,51,June,30.0,120.0,False,32.7877968560962,-96.79074694778146,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed', '50 inch HDTV', 'Free washer – In unit', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",2.0,2.0,78.0,399.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,32.7758406,-96.80908977,2169.7980204458845
1075644654595214020,1,75,June,20.0,163.0,False,32.78499,-96.78209,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 3 spaces', 'Shared outdoor pool - available seasonally, open specific hours, olympic-sized', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,2.0,78.0,399.0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,32.7758406,-96.80908977,2721.4516898476923
1076360941095128717,1,48,June,30.0,195.0,False,32.78105,-96.79809,True,"['City skyline view', 'Kitchen', 'Wifi', 'Shared outdoor pool - available all year, open specific hours, infinity, rooftop', 'Pets allowed', 'TV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",2.0,2.0,78.0,399.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,32.7758406,-96.80908977,1180.283401924349
1077038400709942379,1,93,June,25.0,198.0,False,32.7955,-96.7967,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",2.0,2.0,78.0,399.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,32.7758406,-96.80908977,2473.899084442519
